Kod stacji;DsCzerStraza;DsDzialoszyn;DsDziePilsud;DsJelGorOgin;DsKlodzSzkol;DsLegAlRzecz;DsOlawZolnAK;DsOsieczow21;DsSwidnMarciMOB;DsWalbrzWyso;DsWrocAlWisn;DsWrocBartni;DsWrocWybCon;DsZabkPowWar;DsZgorBohGet;KpBydPlPozna;KpBydWarszaw;KpCiechTezni;KpGrudPilsud;KpInowSolank;KpKoniczynka;KpToruKaszow;KpToruWSikor;KpWloclChelmMOB;KpWloclOkrze;KpZielBoryTu;LbBiaPodOrze;LbBiaSlupRPN;LbLubObywate;LbPulaKarpin;LbZamoHrubie;LdGajewUjWod;LdLodzCzerni;LdLodzGdansk;LdLodzJanPaw;LdLodzKilins;LdLodzZachod;LdPabiKonsta;LdParzniUjWo;LdPioTrKraPr;LdRadomsRoln;LdRadomsSoko;LdZgieMielcz;LuGorzKosGdy;LuSmolBytnic;LuSulecDudka;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKrakAlKras;MpKrakBujaka;MpKrakBulwar;MpNoSaczNadb;MpSkawOsOgro;MpSzarowSpok;MpSzarowWIOS1908;MpSzymbaGorl;MpTarBitStud;MpTrzebOsZWM;MpZakopaSien;MzBelsIGFPAN;MzGranicaKPN;MzLegZegrzyn;MzPiasPulask;MzPlocKroJad;MzPlocMiReja;MzRadTochter;MzSiedKonars;MzWarAlNiepo;MzWarKondrat;MzWarMarszal;MzWarWokalna;MzZyraRoosev;OpKKozBSmial;OpOpoleMinor;OpZdziePiast;PdBialPulPie;PdBialWaszyn;PdBorsukowiz;PdHajnowkJagMOB;PdLomSikorsk;PkJasloSikor;PkKrempnaMPN;PkMielSolski;PkNiskoSzkla;PkPrzemGrunw;PkRzeszRejta;PmGdaKacze02;PmGdaLeczk08;PmGdaOstrz05;PmGdaPoWie01;PmGdaWyzwo03;PmGdyPoreb04;PmGdySzaf09N;PmGdyWendy10;PmKosTargo12;PmLebMalcz16;PmLinieKos17;PmMalMicki15;PmSlupKniazi;PmSopBitPl06;PmStaGdaLubi;PmTczeTarg07;SkKielJagiel;SkMalo11List;SkNowiParkow;SkPolaRuszcz;SlBielKossak;SlCiesMickie;SlCzestoArmK;SlCzestoBacz;SlDabro1000L;SlGliwicMewy;SlKatoKossut;SlKatoPlebA4;SlRybniBorki;SlSosnoLubel;SlTychyTolst;SlUstronSana;SlWodzGalczy;SlZabSkloCur;SlZlotPotLes;SlZywieKoper;WmElbBazynsk;WmGoldJacwie;WmOlsPuszkin;WmOstrChrobr;WpBoroDrapal;WpKaliSawick;WpKoniWyszyn;WpPiaskiKrzy;WpPilaKusoci;WpPoznDabrow;WpPoznPolank;ZpKoszArKraj;ZpSzczAndr01;ZpSzczecPrze;ZpSzczPils02;ZpWiduBulRyb
Wskaźnik;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2
Czas uśredniania;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g
01.01.2015 01:00;18;30;21;;16;24;;19;;23;25;19;20;19;26;21;18;15;14;10;11;18;5;;15;5;;7;25;;13;15;16;;;21;24;18;12;19;;11;20;19;9;4;14;28;21;34;24;20;32;22;;16;6;19;16;36;15;12;17;12;17;15;17;15;25;17;21;18;8;14;;17;;20;19;;19;;10;18;14;19;24;;;;;;;;;;;;;;;7;;23;29;27;23;25;15;19;16;40;9;15;;27;;11;9;18;31;29;10;14;;13;7;13;10;;17;20;18;22;;;;;
01.01.2015 02:00;15;28;20;33;17;22;;19;;23;29;23;20;19;25;17;11;14;20;4;10;18;7;;16;4;;11;23;;13;15;12;18;;17;21;18;23;15;;10;20;8;10;4;13;20;17;36;22;18;38;21;;18;6;19;14;21;15;12;15;12;15;13;15;14;28;14;20;15;7;14;18;15;15;24;18;;19;35;10;13;12;18;23;34;11;4;10;9;6;4;7;;;7;11;9;5;6;18;16;23;22;22;14;14;19;15;34;8;14;32;;44;15;9;19;31;28;11;11;14;12;6;13;10;12;16;7;14;19;;9;5;25;1
01.01.2015 03:00;13;28;13;35;19;21;;18;;22;32;23;21;19;25;15;10;12;20;4;8;18;7;;15;2;;10;21;;13;15;15;17;;18;21;21;20;13;;10;18;8;9;4;13;27;15;28;18;16;35;16;;17;6;18;15;20;15;11;15;10;14;12;14;13;28;14;19;14;7;15;18;19;15;18;17;;15;27;11;13;12;17;23;16;7;5;9;6;6;4;7;;;4;8;6;5;6;10;16;21;19;17;15;12;19;13;46;14;14;27;;43;17;8;18;30;26;10;11;13;11;6;11;11;12;14;4;13;16;9;9;5;22;1
01.01.2015 04:00;12;29;12;26;19;21;;18;;26;32;20;22;18;24;13;10;10;18;3;8;17;6;;14;2;;11;20;;14;15;13;16;;18;18;18;15;13;;11;16;10;8;4;12;17;;36;20;16;36;18;;15;6;17;16;23;14;11;14;9;13;11;13;13;28;14;18;14;7;15;19;20;14;13;15;;14;21;12;13;13;19;23;25;7;5;9;7;6;4;6;;;4;7;5;6;4;10;16;20;17;16;13;12;18;15;39;16;15;37;23;45;21;7;19;27;26;10;12;11;10;6;10;10;11;11;3;11;14;8;8;5;20;2
01.01.2015 05:00;8;28;13;23;19;19;;16;;27;29;17;20;19;25;12;9;8;25;3;7;17;5;;13;2;;11;17;;13;13;11;15;;16;18;18;14;14;;11;16;9;8;4;10;15;13;30;19;19;31;13;;13;7;17;16;38;14;11;14;8;11;10;13;13;26;14;16;14;7;15;19;22;13;12;11;;13;29;12;13;14;;23;25;7;4;7;6;5;4;7;;;4;6;4;5;4;10;16;20;16;17;13;13;19;14;43;18;15;38;23;47;23;7;19;25;25;10;11;9;9;4;8;10;11;9;3;10;13;8;10;5;18;2
01.01.2015 06:00;8;26;9;23;18;17;;16;;26;25;18;18;19;24;13;9;7;19;2;4;15;8;;14;2;;12;16;;13;12;11;15;;17;19;;16;14;;12;17;10;8;4;9;15;12;25;17;16;36;15;;14;7;13;17;13;15;10;14;8;11;10;12;13;25;15;17;13;6;16;23;17;14;12;10;;11;36;12;12;12;18;22;27;7;4;7;5;5;3;5;;;4;5;5;5;4;8;15;22;19;16;14;17;19;14;46;14;18;35;25;48;21;8;22;27;23;11;11;8;7;4;7;9;11;7;3;11;13;7;8;5;14;2
01.01.2015 07:00;12;23;6;15;19;18;;16;;24;22;14;16;16;22;15;10;7;18;5;3;12;8;;12;2;;;15;;12;11;11;15;;17;17;20;16;14;;12;17;14;7;4;9;17;13;24;16;16;36;19;;14;7;40;18;19;16;10;14;8;10;8;12;14;22;15;15;14;6;16;24;22;14;12;9;;10;28;12;12;12;18;23;20;7;4;8;5;5;3;8;;;4;4;4;5;4;7;16;22;19;17;19;19;21;15;37;11;18;34;29;49;20;9;20;31;22;11;6;8;6;3;7;8;10;6;3;10;12;7;11;5;12;2
01.01.2015 08:00;13;21;10;13;18;18;;16;;29;21;12;13;15;21;13;10;4;6;1;3;10;9;;11;2;;14;15;;12;10;11;14;;16;20;14;13;13;;12;17;9;7;5;8;18;13;19;14;14;36;16;;18;8;37;17;18;16;9;13;7;7;6;13;14;17;12;14;12;5;17;27;23;13;11;7;;8;24;11;11;12;17;23;27;6;4;7;5;5;4;;;;4;4;3;4;5;8;15;27;19;17;15;23;20;16;38;12;26;27;;45;25;10;23;34;21;21;5;7;5;3;7;7;8;6;3;10;11;6;;5;12;2
