Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135
Kod stacji;DsCzerStraza;DsDzialoszyn;DsDziePilsud;DsJelGorOgin;DsKlodzSzkol;DsLegAlRzecz;DsOlawZolnAK;DsOsieczow21;DsPolanSportMOB;DsSzkPor1MajMOB;DsWalbrzWyso;DsWrocAlWisn;DsWrocBartni;DsWrocWybCon;DsZabkPowWar;DsZgorBohGet;KpBydPlPozna;KpBydWarszaw;KpCiechTezni;KpGrudPilsud;KpInowSolank;KpKoniczynka;KpToruWSikor;KpWloclOkrze;KpZielBoryTu;LbBiaPodOrze;LbBiaSlupRPN;LbLubObywate;LbPulaKarpin;LbZamoHrubie;LdGajewUjWod;LdLodzCzerni;LdLodzGdansk;LdLodzJanPaw;LdLodzKilins;LdPabiKonsta;LdPioTrKraPr;LdRadomsRoln;LdZgieMielcz;LuGorzKosGdy;LuSmolBytnic;LuSulecDudka;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKaszowLisz;MpKrakAlKras;MpKrakBujaka;MpKrakBulwar;MpKrakDietla;MpNoSaczNadb;MpSkawOsOgro;MpSzarowSpok;MpTarBitStud;MpTarRoSitko;MpTrzebOsZWM;MpZakopaSien;MzBelsIGFPAN;MzGranicaKPN;MzGutyDuCzer;MzLegZegrzyn;MzOtwoBrzozo;MzPiasPulask;MzPlocKroJad;MzPlocMiReja;MzRadTochter;MzSiedKonars;MzWarAlNiepo;MzWarKondrat;MzWarMarszal;MzWarWokalna;OpKKozBSmial;OpOpoleOsAKr;OpZdziePiast;PdBialPulPie;PdBialWaszyn;PdHajnowkJagMOB;PdLomSikorsk;PkJasloSikor;PkKrempnaMPN;PkMielSolski;PkNiskoSzkla;PkPrzemGrunw;PkRzeszRejta;PmGdaKacze02;PmGdaLeczk08;PmGdaOstrz05;PmGdaPoWie01;PmGdaWyzwo03;PmGdyPoreb04;PmGdySzaf09N;PmKosTargo12;PmLinieKos17;PmSlupKniazi;PmSopBitPl06;PmStaGdaLubi;PmTczeTarg07;SkKielJagiel;SkMalo11List;SkNowiParkow;SkPolaRuszcz;SlBielKossak;SlCiesMickie;SlCzestoArmK;SlCzestoBacz;SlDabro1000L;SlGliwicMewy;SlKatoKossut;SlKatoPlebA4;SlRybniBorki;SlSosnoLubel;SlTychyTolst;SlUstronSana;SlWodzGalczy;SlZabSkloCur;SlZlotPotLes;SlZywieKoper;WmElbBazynsk;WmGoldJacwie;WmMragParkow;WmOlsPuszkin;WmOstrChrobr;WmPuszczaBor;WpBoroDrapal;WpKaliSawick;WpKoniWyszyn;WpPiaskiKrzy;WpPilaKusoci;WpPoznDabrow;WpPoznPolank;ZpKoszArKraj;ZpSzczAndr01;ZpSzczecPrze;ZpSzczPils02;ZpWiduBulRyb
Wskaźnik;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2
Czas uśredniania;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g
Jednostka;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Czas pomiaru;DsCzerStraza-NO2-1g;DsDzialoszyn-NO2-1g;DsDziePilsud-NO2-1g;DsJelGorOgin-NO2-1g;DsKlodzSzkol-NO2-1g;DsLegAlRzecz-NO2-1g;DsOlawZolnAK-NO2-1g;DsOsieczow21-NO2-1g;DsPolanSportMOB-NO2-1g;DsSzkPor1MajMOB-NO2-1g;DsWalbrzWyso-NO2-1g;DsWrocAlWisn-NO2-1g;DsWrocBartni-NO2-1g;DsWrocWybCon-NO2-1g;DsZabkPowWar-NO2-1g;DsZgorBohGet-NO2-1g;KpBydPlPozna-NO2-1g;KpBydWarszaw-NO2-1g;KpCiechTezni-NO2-1g;KpGrudPilsud-NO2-1g;KpInowSolank-NO2-1g;KpKoniczynka-NO2-1g;KpToruWSikor-NO2-1g;KpWloclOkrze-NO2-1g;KpZielBoryTu-NO2-1g;LbBiaPodOrze-NO2-1g;LbBiaSlupRPN-NO2-1g;LbLubObywate-NO2-1g;LbPulaKarpin-NO2-1g;LbZamoHrubie-NO2-1g;LdGajewUjWod-NO2-1g;LdLodzCzerni-NO2-1g;LdLodzGdansk-NO2-1g;LdLodzJanPaw-NO2-1g;LdLodzKilins-NO2-1g;LdPabiKonsta-NO2-1g;LdPioTrKraPr-NO2-1g;LdRadomsRoln-NO2-1g;LdZgieMielcz-NO2-1g;LuGorzKosGdy-NO2-1g;LuSmolBytnic-NO2-1g;LuSulecDudka-NO2-1g;LuWsKaziWiel-NO2-1g;LuZarySzyman-NO2-1g;LuZielKrotka-NO2-1g;MpKaszowLisz-NO2-1g;MpKrakAlKras-NO2-1g;MpKrakBujaka-NO2-1g;MpKrakBulwar-NO2-1g;MpKrakDietla-NO2-1g;MpNoSaczNadb-NO2-1g;MpSkawOsOgro-NO2-1g;MpSzarowSpok-NO2-1g;MpTarBitStud-NO2-1g;MpTarRoSitko-NO2-1g;MpTrzebOsZWM-NO2-1g;MpZakopaSien-NO2-1g;MzBelsIGFPAN-NO2-1g;MzGranicaKPN-NO2-1g;MzGutyDuCzer-NO2-1g;MzLegZegrzyn-NO2-1g;MzOtwoBrzozo-NO2-1g;MzPiasPulask-NO2-1g;MzPlocKroJad-NO2-1g;MzPlocMiReja-NO2-1g;MzRadTochter-NO2-1g;MzSiedKonars-NO2-1g;MzWarAlNiepo-NO2-1g;MzWarKondrat-NO2-1g;MzWarMarszal-NO2-1g;MzWarWokalna-NO2-1g;OpKKozBSmial-NO2-1g;OpOpoleOsAKr-NO2-1g;OpZdziePiast-NO2-1g;PdBialPulPie-NO2-1g;PdBialWaszyn-NO2-1g;PdHajnowkJagMOB-NO2-1g;PdLomSikorsk-NO2-1g;PkJasloSikor-NO2-1g;PkKrempnaMPN-NO2-1g;PkMielSolski-NO2-1g;PkNiskoSzkla-NO2-1g;PkPrzemGrunw-NO2-1g;PkRzeszRejta-NO2-1g;PmGdaKacze02-NO2-1g;PmGdaLeczk08-NO2-1g;PmGdaOstrz05-NO2-1g;PmGdaPoWie01-NO2-1g;PmGdaWyzwo03-NO2-1g;PmGdyPoreb04-NO2-1g;PmGdySzaf09N-NO2-1g;PmKosTargo12-NO2-1g;PmLinieKos17-NO2-1g;PmSlupKniazi-NO2-1g;PmSopBitPl06-NO2-1g;PmStaGdaLubi-NO2-1g;PmTczeTarg07-NO2-1g;SkKielJagiel-NO2-1g;SkMalo11List-NO2-1g;SkNowiParkow-NO2-1g;SkPolaRuszcz-NO2-1g;SlBielKossak-NO2-1g;SlCiesMickie-NO2-1g;SlCzestoArmK-NO2-1g;SlCzestoBacz-NO2-1g;SlDabro1000L-NO2-1g;SlGliwicMewy-NO2-1g;SlKatoKossut-NO2-1g;SlKatoPlebA4-NO2-1g;SlRybniBorki-NO2-1g;SlSosnoLubel-NO2-1g;SlTychyTolst-NO2-1g;SlUstronSana-NO2-1g;SlWodzGalczy-NO2-1g;SlZabSkloCur-NO2-1g;SlZlotPotLes-NO2-1g;SlZywieKoper-NO2-1g;WmElbBazynsk-NO2-1g;WmGoldJacwie-NO2-1g;WmMragParkow-NO2-1g;WmOlsPuszkin-NO2-1g;WmOstrChrobr-NO2-1g;WmPuszczaBor-NO2-1g;WpBoroDrapal-NO2-1g;WpKaliSawick-NO2-1g;WpKoniWyszyn-NO2-1g;WpPiaskiKrzy-NO2-1g;WpPilaKusoci-NO2-1g;WpPoznDabrow-NO2-1g;WpPoznPolank-NO2-1g;ZpKoszArKraj-NO2-1g;ZpSzczAndr01-NO2-1g;ZpSzczecPrze-NO2-1g;ZpSzczPils02-NO2-1g;ZpWiduBulRyb-NO2-1g
01.01.2016 01:00;17,7898;6,85492;22,6242;5,96059;8,17967;37,7175;15,3179;5,47543;9,38979;;5,2565;44,033;20,2135;38,997;12,7857;11,9881;34,8;33,3;13,1;21,1;14,0;14,0;16,0;26,8;9,7;14,4;14,9214;38,2;27,4;34,5;14,0;;;31,5;29,15412;;37,3;17,59;;25,8335;5,05526;9,44225;8,46131;9,62877;21,1275;38,9174;60,2436;37,0358;22,3414;58,1057;32,6287;26,2952;31,9166;28,6498;;31,8057;58,0744;14,352;18,05;12,34;28,98;41,56;32,73;21,0;19,3;31,58;24,05;33,51;41,699626;43,467812;31,27;6,05998;15,9944;11,3728;9,6;15,3;3,59644;15,0;25,8356;3,70822;32,1563;11,8978;22,2362;34,1998;16,3185;34,3785;24,0167;22,3365;15,7667;21,1762;15,039;10,5473;3,70144;16,1029;26,1861;25,9;;52,5;8,2;35,0;38,4;33,0407;5,87993;49,5208;37,1669;35,7466;32,2048;51,3072;61,38;18,0519;47,5164;30,9848;11,2584;42,0355;39,204;8,66667;18,7246;9,30931;11,6528;4,01969;13,3939;10,4593;11,1;18,4529;18,4282;16,947;15,6391;28,2127;32,6894;28,7827;20,1062;17,4162;28,7545;25,3813;7,9417
01.01.2016 02:00;10,4333;8,05479;35,8209;6,32725;14,1312;31,9705;15,6803;7,19447;9,58538;;8,23918;50,6323;22,8024;33,4732;11,5226;9,87002;33,7;29,8;13,2;24,5;20,2;11,1;19,9;21,3;9,4;8,9;21,15778;32,2;22,0;35,2;13,1;18,3;29,2;30,2;23,68294;21,3;37,8;15,72;28,8;25,4649;4,34443;9,90403;4,34251;8,29304;19,1374;31,174;41,3819;37,8208;20,4059;52,3649;34,7361;27,5042;28,4116;30,3211;;21,8815;61,0088;16,458;16,15;11,14;26,712;37,16;36,63;18,6;18,9;28,48;19,95;36,91;41,598808;51,093464;29,37;5,28137;14,0485;9,79828;9,5;17,0;4,07469;10,3;23,1001;2,33476;29,6154;11,8459;19,2236;34,9391;23,9333;32,1004;35,3813;23,7974;24,701;24,9275;17,5397;12,2781;4,38652;17,7325;35,0978;19,3;;53,2;7,9;31,0;36,9;36,4102;4,10496;49,8081;39,6942;34,7683;29,3475;48,6699;64,6532;31,1406;44,5517;29,9847;10,518;45,5273;33,8716;11,4102;17,8058;7,75217;11,0781;3,12935;11,4484;7,41102;11,3;18,4665;16,6609;16,3428;16,8133;27,6313;31,9745;28,253;18,0667;9,77298;17,2508;22,8935;8,79945
01.01.2016 03:00;4,48492;7,2864;21,6725;6,26826;9,2451;32,826;18,2966;7,61161;16,8955;;4,89462;42,4702;21,9671;37,8838;11,3855;9,24245;31,3;30,3;12,4;27,2;12,7;10,4;13,7;17,5;10,5;8,6;16,29876;22,3;17,7;24,1;12,8;19,9;30,6;32,3;26,49505;26,2;31,7;19,2;26,1;17,8233;5,72497;10,6432;3,59171;11,7033;14,652;37,201;40,5237;32,8496;18,385;46,1143;34,5445;27,7932;34,9511;32,3839;;16,5725;59,1542;14,352;16,15;10,94;21,042;38,06;32,03;20,0;18,5;24,38;10,25;36,41;39,797503;39,919116;25,87;6,73874;13,7212;11,1039;7,0;12,9;3,00341;9,7;20,6017;5,10292;26,569;11,2067;15,8089;30,7758;21,4237;25,1308;34,67;21,5103;21,1998;26,4278;15,8782;10,4061;4,63192;16,0233;32,2376;21,3;;48,4;8,0;28,0;20,9;32,3106;3,30564;48,884;41,9399;32,2669;40,5832;48,8761;55,5925;38,7796;42,9079;26,7963;10,6375;41,9357;30,0646;13,8535;15,9953;8,93191;9,24431;3,59644;11,2495;7,76306;11,0;17,8911;15,4003;16,9346;17,604;27,1167;34,3724;29,3437;17,2329;9,75704;25,7511;21,3799;9,71296
01.01.2016 04:00;3,53692;8,23387;27,2917;6,1588;9,06921;31,4524;13,2872;7,90069;15,7803;;6,16199;29,5282;17,48;39,5837;11,3994;10,0034;33,1;30,6;11,6;18,0;12,0;11,3;11,8;16,4;10,1;10,9;20,35432;22,9;13,8;9,7;13,3;17,7;31,1;32,7;27,27938;24,0;32,9;20,95;29,4;19,4111;7,14001;9,16912;4,22082;9,50958;14,9767;33,3233;39,5306;38,7885;16,6654;46,792;34,2561;26,5471;36,6379;31,6299;;18,4207;57,407;16,458;18,85;15,44;19,152;28,46;32,13;20,5;19,6;22,98;6,75;35,51;34,496199;40,044768;23,77;5,99093;14,2817;10,0241;5,5;14,5;2,27647;11,2;19,1718;2,25085;25,1833;10,1158;13,4281;27,3283;15,3226;21,5359;35,1755;21,1626;19,1913;24,0198;16,0297;10,8602;4,86584;17,8219;24,2268;28,4;;43,1;8,7;30,0;18,8;34,1715;8,98587;47,1692;41,4924;29,5887;36,3878;46,7133;51,1646;40,7267;40,7707;26,0094;10,2944;40,4212;29,9961;12,1412;15,4836;9,36174;7,0858;3,69262;12,5083;6,25524;9,2;16,8578;14,0032;17,4627;17,0884;22,3195;37,0445;28,5324;16,531;8,27099;19,8536;24,3323;10,0975
01.01.2016 05:00;3,0507;9,13298;25,9041;6,20715;8,11271;28,5095;16,8151;8,19242;14,3801;;5,72146;27,4467;17,1697;32,5428;11,0024;10,3849;28,1;28,7;11,8;17,6;11,7;15,4;12,4;18,0;10,4;10,7;22,45862;17,3;12,2;5,3;14,6;19,9;28,9;33,6;25,74898;18,1;23,4;23,63;30,2;19,0243;6,63753;8,97144;5,39944;9,84557;15,4283;30,5794;40,4775;34,0818;14,0653;44,0493;32,8673;23,3901;33,3064;34,8894;;22,7717;54,4347;17,781;17,15;14,54;18,27;28,06;26,73;20,2;18,9;22,28;5,85;28,01;27,194894;33,77042;23,37;6,12477;15,0144;9,75736;5,4;10,5;4,43816;7,2;17,9374;2,23173;22,9776;8,93075;14,3696;25,1656;16,5101;19,8821;32,2999;18,4384;20,0654;22,843;16,0435;11,5225;4,85364;14,1083;22,4616;58,2;;42,6;7,9;31,0;25,2;32,927;6,30057;46,8433;41,2246;28,2025;30,6005;46,3302;48,4336;35,4357;38,3308;23,8465;10,2216;33,1746;29,7566;11,3876;29,7913;8,43742;8,83912;3,18594;15,6914;5,17918;8,8;16,0086;11,5942;18,991;16,8112;20,2525;31,7907;19,501;15,3869;7,83973;16,8154;24,6005;11,4736
