Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
Kod stacji;DsCzerStraza;DsDzialoszyn;DsDziePilsud;DsJelGorOgin;DsKlodzSzkol;DsLadekMOB;DsLegAlRzecz;DsLubanMOB;DsOlawZolnAK;DsOsieczow21;DsWalbrzWyso;DsWrocAlWisn;DsWrocBartni;DsWrocWybCon;DsZabkPowWar;DsZgorBohGet;KpBydPlPozna;KpBydWarszaw;KpCiechTezni;KpGrudPilsud;KpInowSolank;KpKoniczynka;KpToruKaszow;KpToruStorczMOB;KpToruWSikor;KpWloclOkrze;KpZielBoryTu;LbBiaPodOrze;LbFlorianRPN;LbLubObywate;LbPulaKarpin;LbZamoHrubie;LdGajewUjWod;LdLodzCzerni;LdLodzGdansk;LdLodzJanPaw;LdPabiKonsta;LdParzniUjWo;LdPioTrKraPr;LdRadomsRoln;LdZgieMielcz;LuGorzKosGdy;LuSmolBytnic;LuSulecDudka;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKaszowLisz;MpKrakAlKras;MpKrakBujaka;MpKrakBulwar;MpKrakDietla;MpNoSaczNadb;MpSkawOsOgro;MpSzarowSpok;MpSzymbaGorl;MpTarBitStud;MpTarRoSitko;MpTrzebOsZWM;MpZakopaSien;MzBelsIGFPAN;MzGranicaKPN;MzGutyDuCzer;MzKonJezMos;MzLegZegrzyn;MzOtwoBrzozo;MzPiasPulask;MzPlocKroJad;MzPlocMiReja;MzRadTochter;MzWarAlNiepo;MzWarKondrat;MzWarWokalna;OpKKozBSmial;OpOpoleOsAKr;OpZdziePiast;PdAugustoZdrMOB;PdBialWaszyn;PdBorsukowiz;PdLomSikorsk;PkJasloSikor;PkKrempnaMPN;PkMielBierna;PkNiskoSzkla;PkPrzemGrunw;PkRzeszRejta;PmGdaKacze02;PmGdaLeczk08;PmGdaOstrz05;PmGdaPoWie01;PmGdaWyzwo03;PmGdyPoreb04;PmGdySzaf09N;PmGdyWendy10;PmKosTargo12;PmLebMalcz16;PmLinieKos17;PmMalMicki15;PmSlupKniazi;PmSopBitPl06;SkKielJagiel;SkKielTargow;SkMaloSlonec;SkNowiParkow;SkPolaRuszcz;SkSwietKrzyz;SlBielPartyz;SlCiesMickie;SlCzestoArmK;SlCzestoBacz;SlDabro1000L;SlGliwicMewy;SlKatoKossut;SlKatoPlebA4;SlRybniBorki;SlSosnoLubel;SlTychyTolst;SlUstronSana;SlWodzGalczy;SlZabSkloCur;SlZlotPotLes;SlZywieKoper;WmElbBazynsk;WmElkStadion;WmGoldJacwie;WmOlsPuszkin;WmOstrPilsud;WmPuszczaBor;WpBoroDrapal;WpKaliSawick;WpKoniWyszyn;WpKozieosLes;WpPiaskiKrzy;WpPilaKusoci;WpPoznDabrow;WpPoznPolank;ZpKoszArKraj;ZpSzczAndr01;ZpSzczecPrze;ZpSzczPils02;ZpWiduBulRyb
Wskaźnik;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2
Czas uśredniania;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g
Jednostka;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Czas pomiaru;DsCzerStraza-NO2-1g;DsDzialoszyn-NO2-1g;DsDziePilsud-NO2-1g;DsJelGorOgin-NO2-1g;DsKlodzSzkol-NO2-1g;DsLadekMOB-NO2-1g;DsLegAlRzecz-NO2-1g;DsLubanMOB-NO2-1g;DsOlawZolnAK-NO2-1g;DsOsieczow21-NO2-1g;DsWalbrzWyso-NO2-1g;DsWrocAlWisn-NO2-1g;DsWrocBartni-NO2-1g;DsWrocWybCon-NO2-1g;DsZabkPowWar-NO2-1g;DsZgorBohGet-NO2-1g;KpBydPlPozna-NO2-1g;KpBydWarszaw-NO2-1g;KpCiechTezni-NO2-1g;KpGrudPilsud-NO2-1g;KpInowSolank-NO2-1g;KpKoniczynka-NO2-1g;KpToruKaszow-NO2-1g;KpToruStorczMOB-NO2-1g;KpToruWSikor-NO2-1g;KpWloclOkrze-NO2-1g;KpZielBoryTu-NO2-1g;LbBiaPodOrze-NO2-1g;LbFlorianRPN-NO2-1g;LbLubObywate-NO2-1g;LbPulaKarpin-NO2-1g;LbZamoHrubie-NO2-1g;LdGajewUjWod-NO2-1g;LdLodzCzerni-NO2-1g;LdLodzGdansk-NO2-1g;LdLodzJanPaw-NO2-1g;LdPabiKonsta-NO2-1g;LdParzniUjWo-NO2-1g;LdPioTrKraPr-NO2-1g;LdRadomsRoln-NO2-1g;LdZgieMielcz-NO2-1g;LuGorzKosGdy-NO2-1g;LuSmolBytnic-NO2-1g;LuSulecDudka-NO2-1g;LuWsKaziWiel-NO2-1g;LuZarySzyman-NO2-1g;LuZielKrotka-NO2-1g;MpKaszowLisz-NO2-1g;MpKrakAlKras-NO2-1g;MpKrakBujaka-NO2-1g;MpKrakBulwar-NO2-1g;MpKrakDietla-NO2-1g;MpNoSaczNadb-NO2-1g;MpSkawOsOgro-NO2-1g;MpSzarowSpok-NO2-1g;MpSzymbaGorl-NO2-1g;MpTarBitStud-NO2-1g;MpTarRoSitko-NO2-1g;MpTrzebOsZWM-NO2-1g;MpZakopaSien-NO2-1g;MzBelsIGFPAN-NO2-1g;MzGranicaKPN-NO2-1g;MzGutyDuCzer-NO2-1g;MzKonJezMos-NO2-1g;MzLegZegrzyn-NO2-1g;MzOtwoBrzozo-NO2-1g;MzPiasPulask-NO2-1g;MzPlocKroJad-NO2-1g;MzPlocMiReja-NO2-1g;MzRadTochter-NO2-1g;MzWarAlNiepo-NO2-1g;MzWarKondrat-NO2-1g;MzWarWokalna-NO2-1g;OpKKozBSmial-NO2-1g;OpOpoleOsAKr-NO2-1g;OpZdziePiast-NO2-1g;PdAugustoZdrMOB-NO2-1g;PdBialWaszyn-NO2-1g;PdBorsukowiz-NO2-1g;PdLomSikorsk-NO2-1g;PkJasloSikor-NO2-1g;PkKrempnaMPN-NO2-1g;PkMielBierna-NO2-1g;PkNiskoSzkla-NO2-1g;PkPrzemGrunw-NO2-1g;PkRzeszRejta-NO2-1g;PmGdaKacze02-NO2-1g;PmGdaLeczk08-NO2-1g;PmGdaOstrz05-NO2-1g;PmGdaPoWie01-NO2-1g;PmGdaWyzwo03-NO2-1g;PmGdyPoreb04-NO2-1g;PmGdySzaf09N-NO2-1g;PmGdyWendy10-NO2-1g;PmKosTargo12-NO2-1g;PmLebMalcz16-NO2-1g;PmLinieKos17-NO2-1g;PmMalMicki15-NO2-1g;PmSlupKniazi-NO2-1g;PmSopBitPl06-NO2-1g;SkKielJagiel-NO2-1g;SkKielTargow-NO2-1g;SkMaloSlonec-NO2-1g;SkNowiParkow-NO2-1g;SkPolaRuszcz-NO2-1g;SkSwietKrzyz-NO2-1g;SlBielPartyz-NO2-1g;SlCiesMickie-NO2-1g;SlCzestoArmK-NO2-1g;SlCzestoBacz-NO2-1g;SlDabro1000L-NO2-1g;SlGliwicMewy-NO2-1g;SlKatoKossut-NO2-1g;SlKatoPlebA4-NO2-1g;SlRybniBorki-NO2-1g;SlSosnoLubel-NO2-1g;SlTychyTolst-NO2-1g;SlUstronSana-NO2-1g;SlWodzGalczy-NO2-1g;SlZabSkloCur-NO2-1g;SlZlotPotLes-NO2-1g;SlZywieKoper-NO2-1g;WmElbBazynsk-NO2-1g;WmElkStadion-NO2-1g;WmGoldJacwie-NO2-1g;WmOlsPuszkin-NO2-1g;WmOstrPilsud-NO2-1g;WmPuszczaBor-NO2-1g;WpBoroDrapal-NO2-1g;WpKaliSawick-NO2-1g;WpKoniWyszyn-NO2-1g;WpKozieosLes-NO2-1g;WpPiaskiKrzy-NO2-1g;WpPilaKusoci-NO2-1g;WpPoznDabrow-NO2-1g;WpPoznPolank-NO2-1g;ZpKoszArKraj-NO2-1g;ZpSzczAndr01-NO2-1g;ZpSzczecPrze-NO2-1g;ZpSzczPils02-NO2-1g;ZpWiduBulRyb-NO2-1g
01.01.2018 01:00;2,04478;5,03918;4,22781;7,76803;26,787;;7,71333;;2,44802;2,17809;6,83434;23,8193;5,25641;13,2146;5,34561;6,05148;12,1;17,5;5,6;13,1;1,1;6,1;12,6;;17,9;15,3;2,6;13,1;;13,0;9,4;7,8;4,6;13,2;18,2;10,7;9,9;7,5;15,5;19,45;10,6;24,8783;4,185;5,25216;4,37158;8,49034;7,83176;4,65965;57,2207;18,5984;25,2304;59,5354;23,2083;5,6712;5,7104;5,13134;10,2494;10,1788;11,4442;73,9694;8,468479;5,3;7,09;17,4;11,3;23,53;14,63;7,34625;10,88;21,40195;41,64;34,3;14,22;10,4018;8,83044;9,66325;5,5;4,1;2,0;10,1;14,0568;5,36104;6,77963;6,91666;5,91319;6,9703;9,78609;15,8867;5,36493;23,826;37,5689;11,0223;10,8447;12,6864;14,4075;9,51449;;10,5016;7,70217;9,01714;13,0;;7,4;11,0;3,7;;;4,87932;15,9392;12,2389;12,6951;13,6166;16,8665;20,9571;11,2599;15,6534;8,50681;5,9775;17,0125;12,6521;11,2171;16,5271;15,0501;7,85595;6,00262;18,2091;9,34915;5,55519;4,43751;7,89636;9,21095;18,2842;8,12137;12,7546;12,4671;12,5564;10,5213;10,5872;6,33078;27,2157;2,95192
01.01.2018 02:00;2,1101;3,88667;6,94334;3,28067;26,9445;;6,95065;;1,87913;2,02194;3,9504;27,0314;4,74229;10,6392;3,69706;3,93022;10,2;13,9;5,2;12,7;0,6;4,7;8,8;;11,8;15,1;2,3;11,4;;14,0;11,5;5,9;3,8;8,8;14,2;11,0;8,2;5,4;9,6;15,74;7,7;25,7875;5,87903;4,96164;3,42136;8,36341;4,41088;6,85452;70,729;;30,4454;68,9048;23,3936;4,51657;5,53502;4,96536;9,33035;9,73765;9,85372;91,1355;8,762603;5,5;5,28;17,0;8,7;17,83;10,43;5,58315;7,38;18,719778;33,84;18,2;9,82;8,36447;8,38472;7,00942;5,4;4,4;2,2;9,5;17,6022;4,98235;6,63145;3,97218;4,67198;6,50452;9,96483;10,7332;4,89654;12,6704;38,5396;6,16046;9,11227;10,572;9,82489;4,28686;;7,76373;6,80619;8,92076;10,5;;5,3;8,0;2,4;;;2,91261;12,9602;9,98223;11,6616;14,0755;16,3965;19,589;13,8586;16,56;15,2726;5,19351;20,6347;12,3436;13,2969;25,9591;11,9319;6,33308;6,4939;15,2009;7,48389;6,15383;4,43872;4,56173;8,30388;16,1918;5,49975;8,7969;8,58222;6,28453;8,54044;5,56286;3,85843;27,0675;2,92111
01.01.2018 03:00;1,43719;4,49745;7,85528;2,3576;19,5345;;6,71909;;2,02391;1,65547;4,88304;31,0724;4,45708;12,1826;4,37264;2,99972;9,5;13,1;5,8;10,0;0,4;3,6;7,3;;10,4;11,5;2,4;11,3;;10,0;10,3;5,5;4,0;7,9;12,8;8,6;7,4;5,0;6,3;13,03;6,4;25,3345;3,97197;5,975;3,46603;5,73919;4,15488;7,77249;81,8499;;23,7051;79,885;27,5989;5,69723;5,79246;4,98395;8,89856;9,35947;10,7184;93,2615;7,840112;5,8;4,78;17,2;8,6;18,23;11,13;4,79955;7,48;17,737606;36,74;16,7;10,42;9,23549;9,62154;9,23177;5,2;5,3;3,8;8,8;6,972;4,57818;5,67811;3,89251;4,06798;5,78539;6,59372;8,5739;4,67612;6,89833;22,9982;5,72289;7,33757;8,83912;10,5022;3,92299;;7,09959;6,13964;;10,7;;5,1;9,0;11,9;;;2,21097;13,6899;9,34113;16,2589;21,0743;9,05429;24,0065;25,1273;13,4969;17,7983;4,78988;25,5176;17,3929;13,6403;18,1068;9,01774;7,58646;6,50505;12,0286;7,03988;7,1669;4,61226;4,20018;8,48837;12,4936;5,37713;8,64388;8,64649;5,73568;8,14897;6,67341;4,16392;27,2037;4,30359
01.01.2018 04:00;1,30653;3,98386;5,17896;3,28067;19,2794;;6,25596;;2,13647;0,74403;4,95049;32,0887;5,64677;9,73049;4,22446;3,10063;10,6;12,3;8,7;10,1;0,7;3,1;6,4;;10,3;13,2;2,2;11,4;;8,4;7,7;4,8;4,3;7,8;13,1;8,9;7,8;4,6;9,0;21,27;6,2;20,3989;5,98036;5,86878;3,16808;2,52118;4,59836;7,86039;86,1014;;21,8558;71,478;30,6975;29,619;6,31083;4,76938;8,47262;9,89588;11,9526;71,1397;7,257178;5,2;5,14;15,6;8,1;16,63;10,93;4,5057;6,78;13,155434;30,14;16,6;8,52;7,52106;7,83328;8,8839;5,8;6,3;5,4;8,7;15,4844;4,65094;4,93349;3,1941;4,17673;5,608;6,32621;6,93415;4,44894;5,51099;20,128;5,49596;7,64996;9,76799;10,0067;3,41116;;7,56763;6,19284;9,14095;13,1;;5,6;10,0;2,1;;;1,60927;10,0823;9,62186;16,9662;20,1127;12,6815;26,2237;20,4265;12,9828;13,7089;5,37031;24,3912;12,7591;13,8658;25,7033;7,4398;8,26241;7,09724;10,2255;6,66013;6,95726;3,80477;3,90583;7,51352;10,6514;5,02211;6,99154;9,33972;5,19997;8,43723;8,73731;4,1098;19,8816;2,84994
01.01.2018 05:00;1,7617;3,78682;8,65083;2,80798;2,72116;;7,18115;;4,78081;0,6607;3,79798;47,4574;4,54312;7,43556;5,45186;3,08522;8,0;11,2;7,1;8,0;0,6;3,1;6,4;;9,9;9,4;2,0;11,2;;8,6;6,9;4,5;4,2;8,9;13,4;9,5;8,3;6,1;11,6;16,55;6,1;21,7278;3,43767;5,29305;2,78302;2,0963;4,67962;10,2651;47,3245;;18,0493;68,8559;20,1522;24,4412;5,79499;4,41406;8,1514;9,47832;12,4083;64,5783;7,198725;4,5;4,98;14,4;8,2;12,03;10,13;4,40775;7,28;12,273262;41,84;16,3;7,92;6,64526;11,81;7,05209;6,2;7,2;5,6;8,9;17,9183;4,18569;4,32484;2,83135;5,12887;5,58092;5,6392;6,94653;4,55353;5,65923;21,1822;5,12195;8,21816;7,56804;10,6757;3,7454;;6,96223;5,57029;8,32846;20,0;;5,9;10,0;1,9;4,41;;2,30662;12,0175;10,2929;22,2482;16,9982;22,5552;33,6767;8,17352;19,3834;7,7675;4,18355;27,0309;19,35;10,6403;18,4816;6,37777;7,12612;6,80725;10,4857;6,71112;6,50984;3,46369;3,96984;7,16924;10,2382;4,93516;7,17755;9,45213;4,37027;7,36492;5,84222;4,01265;5,16081;3,64555
