Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147
Kod stacji;DsDusznikMOB;DsDzialoszyn;DsDziePilsud;DsJaworMOB;DsJelGorOgin;DsKlodzSzkol;DsLegAlRzecz;DsLubanMieszMOB;DsOlawZolnAK;DsOsieczow21;DsWalbrzWyso;DsWrocAlWisn;DsWrocBartni;DsWrocWybCon;DsZabkPowWar;DsZgorBohGet;KpBydPlPozna;KpBydWarszaw;KpCiechTezni;KpGrudPilsud;KpInowSolank;KpKoniczynka;KpMogiNowMOB;KpToruKaszow;KpToruWSikor;KpWieniecZdrMOB;KpWloclKalis;KpWloclOkrze;KpZielBoryTu;LbBiaPodOrze;LbFlorianRPN;LbLubObywate;LbNaleczow;LbPulaKarpin;LbZamoHrubie;LdGajewUjWod;LdLodzCzerni;LdLodzGdansk;LdLodzJanPaw;LdPabiKonsta;LdParzniUjWo;LdPioTrKraPr;LdRadomsRoln;LdZgieMielcz;LuGorzKosGdy;LuNowaSolMOB;LuSmolBytnic;LuSulecDudka;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKaszowLisz;MpKrakAlKras;MpKrakBujaka;MpKrakBulwar;MpKrakDietla;MpNoSaczNadb;MpSkawOsOgro;MpSzarowSpok;MpSzymbaGorl;MpTarBitStud;MpTarRoSitko;MpTrzebOsZWM;MpZakopaSien;MzBelsIGFPAN;MzGranicaKPN;MzGutyDuCzer;MzKonJezMos;MzLegZegrzyn;MzOtwoBrzozo;MzPiasPulask;MzPlocKroJad;MzPlocMiReja;MzRadTochter;MzWarAlNiepo;MzWarChrosci;MzWarKondrat;MzWarWokalna;OpKKozBSmial;OpOpoleOsAKr;OpPrudPodgor;OpZdziePiast;PdBialWaszyn;PdBorsukowiz;PdLomSikorsk;PkJasloSikor;PkKrempnaMPN;PkMielBierna;PkNiskoSzkla;PkPrzemGrunw;PkRzeszPilsu;PkRzeszRejta;PmGdaKacze02;PmGdaLeczk08;PmGdaOstrz05;PmGdaPoWie01;PmGdaWyzwo03;PmGdyPoreb04;PmGdySzaf09N;PmGdyWendy10;PmKosTargo12;PmLebMalcz16;PmMalMicki15;PmSlupKniazi;PmSopBitPl06;SkKielTargow;SkMaloSlonec;SkNowiParkow;SlBielPartyz;SlCiesMickie;SlCzestoArmK;SlCzestoBacz;SlDabro1000L;SlGliwicMewy;SlKatoKossut;SlKatoPlebA4;SlRybniBorki;SlSosnoLubel;SlTychyTolst;SlUstronSana;SlWodzGalczy;SlZabSkloCur;SlZlotPotLes;SlZywieKoper;WmElbBazynsk;WmElkStadion;WmGoldJacwie;WmGoldUzdrowMOB;WmOlsPuszkin;WmOstrPilsud;WmPuszczaBor;WpBoroDrapal;WpKaliSawick;WpKoniWyszyn;WpKozieosLes;WpPiaskiKrzy;WpPilaKusoci;WpPoznDabrow;WpPoznPolank;WpPoznRatajeMOB;ZpKoszArKraj;ZpKoszChopin;ZpSzczAndr01;ZpSzczBudzWosMOB;ZpSzczecPrze;ZpSzczPils02;ZpWiduBulRyb
Wskaźnik;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2
Czas uśredniania;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g
Jednostka;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Kod stanowiska;DsDusznikMOB-NO2-1g;DsDzialoszyn-NO2-1g;DsDziePilsud-NO2-1g;DsJaworMOB-NO2-1g;DsJelGorOgin-NO2-1g;DsKlodzSzkol-NO2-1g;DsLegAlRzecz-NO2-1g;DsLubanMieszMOB-NO2-1g;DsOlawZolnAK-NO2-1g;DsOsieczow21-NO2-1g;DsWalbrzWyso-NO2-1g;DsWrocAlWisn-NO2-1g;DsWrocBartni-NO2-1g;DsWrocWybCon-NO2-1g;DsZabkPowWar-NO2-1g;DsZgorBohGet-NO2-1g;KpBydPlPozna-NO2-1g;KpBydWarszaw-NO2-1g;KpCiechTezni-NO2-1g;KpGrudPilsud-NO2-1g;KpInowSolank-NO2-1g;KpKoniczynka-NO2-1g;KpMogiNowMOB-NO2-1g;KpToruKaszow-NO2-1g;KpToruWSikor-NO2-1g;KpWieniecZdrMOB-NO2-1g;KpWloclKalis-NO2-1g;KpWloclOkrze-NO2-1g;KpZielBoryTu-NO2-1g;LbBiaPodOrze-NO2-1g;LbFlorianRPN-NO2-1g;LbLubObywate-NO2-1g;LbNaleczow-NO2-1g;LbPulaKarpin-NO2-1g;LbZamoHrubie-NO2-1g;LdGajewUjWod-NO2-1g;LdLodzCzerni-NO2-1g;LdLodzGdansk-NO2-1g;LdLodzJanPaw-NO2-1g;LdPabiKonsta-NO2-1g;LdParzniUjWo-NO2-1g;LdPioTrKraPr-NO2-1g;LdRadomsRoln-NO2-1g;LdZgieMielcz-NO2-1g;LuGorzKosGdy-NO2-1g;LuNowaSolMOB-NO2-1g;LuSmolBytnic-NO2-1g;LuSulecDudka-NO2-1g;LuWsKaziWiel-NO2-1g;LuZarySzyman-NO2-1g;LuZielKrotka-NO2-1g;MpKaszowLisz-NO2-1g;MpKrakAlKras-NO2-1g;MpKrakBujaka-NO2-1g;MpKrakBulwar-NO2-1g;MpKrakDietla-NO2-1g;MpNoSaczNadb-NO2-1g;MpSkawOsOgro-NO2-1g;MpSzarowSpok-NO2-1g;MpSzymbaGorl-NO2-1g;MpTarBitStud-NO2-1g;MpTarRoSitko-NO2-1g;MpTrzebOsZWM-NO2-1g;MpZakopaSien-NO2-1g;MzBelsIGFPAN-NO2-1g;MzGranicaKPN-NO2-1g;MzGutyDuCzer-NO2-1g;MzKonJezMos-NO2-1g;MzLegZegrzyn-NO2-1g;MzOtwoBrzozo-NO2-1g;MzPiasPulask-NO2-1g;MzPlocKroJad-NO2-1g;MzPlocMiReja-NO2-1g;MzRadTochter-NO2-1g;MzWarAlNiepo-NO2-1g;MzWarChrosci-NO2-1g;MzWarKondrat-NO2-1g;MzWarWokalna-NO2-1g;OpKKozBSmial-NO2-1g;OpOpoleOsAKr-NO2-1g;OpPrudPodgor-NO2-1g;OpZdziePiast-NO2-1g;PdBialWaszyn-NO2-1g;PdBorsukowiz-NO2-1g;PdLomSikorsk-NO2-1g;PkJasloSikor-NO2-1g;PkKrempnaMPN-NO2-1g;PkMielBierna-NO2-1g;PkNiskoSzkla-NO2-1g;PkPrzemGrunw-NO2-1g;PkRzeszPilsu-NO2-1g;PkRzeszRejta-NO2-1g;PmGdaKacze02-NO2-1g;PmGdaLeczk08-NO2-1g;PmGdaOstrz05-NO2-1g;PmGdaPoWie01-NO2-1g;PmGdaWyzwo03-NO2-1g;PmGdyPoreb04-NO2-1g;PmGdySzaf09N-NO2-1g;PmGdyWendy10-NO2-1g;PmKosTargo12-NO2-1g;PmLebMalcz16-NO2-1g;PmMalMicki15-NO2-1g;PmSlupKniazi-NO2-1g;PmSopBitPl06-NO2-1g;SkKielTargow-NO2-1g;SkMaloSlonec-NO2-1g;SkNowiParkow-NO2-1g;SlBielPartyz-NO2-1g;SlCiesMickie-NO2-1g;SlCzestoArmK-NO2-1g;SlCzestoBacz-NO2-1g;SlDabro1000L-NO2-1g;SlGliwicMewy-NO2-1g;SlKatoKossut-NO2-1g;SlKatoPlebA4-NO2-1g;SlRybniBorki-NO2-1g;SlSosnoLubel-NO2-1g;SlTychyTolst-NO2-1g;SlUstronSana-NO2-1g;SlWodzGalczy-NO2-1g;SlZabSkloCur-NO2-1g;SlZlotPotLes-NO2-1g;SlZywieKoper-NO2-1g;WmElbBazynsk-NO2-1g;WmElkStadion-NO2-1g;WmGoldJacwie-NO2-1g;WmGoldUzdrowMOB-NO2-1g;WmOlsPuszkin-NO2-1g;WmOstrPilsud-NO2-1g;WmPuszczaBor-NO2-1g;WpBoroDrapal-NO2-1g;WpKaliSawick-NO2-1g;WpKoniWyszyn-NO2-1g;WpKozieosLes-NO2-1g;WpPiaskiKrzy-NO2-1g;WpPilaKusoci-NO2-1g;WpPoznDabrow-NO2-1g;WpPoznPolank-NO2-1g;WpPoznRatajeMOB-NO2-1g;ZpKoszArKraj-NO2-1g;ZpKoszChopin-NO2-1g;ZpSzczAndr01-NO2-1g;ZpSzczBudzWosMOB-NO2-1g;ZpSzczecPrze-NO2-1g;ZpSzczPils02-NO2-1g;ZpWiduBulRyb-NO2-1g
01.01.2019 01:00;12,9145;9,73102;35,1793;11,6335;27,0426;25,948;10,6934;;7,04706;6,82212;9,50901;29,9164;12,7281;21,3492;11,3052;12,3388;12,2;16;3,6;6,7;6,3;6;;9,3;9,7;6,2;9,1;14,5;4,4;22,2;2,1;13,3;;9,45;10,8;5,8;14,5;15,4;7,3;8,4;4,7;6,4;11,2;10,9;12,4243;6,8075;6,24645;7,14344;8,83001;16,2568;13,4801;12,8024;39,5396;29,2986;22,4193;32,8471;14,5339;16,7592;15,2809;3,45169;48,337;30,4129;25,2008;50,8911;5,309;6,133;3,9;9,86;10,75;10,47;16,58868;7,0245;8,34;14,57;48,7;19;13,11;29,128005;13,316;13,3125;9,22699;14,9174;14,2;1,9;10,5;4,99456;2,42026;13,914;4,24836;11,8837;27,6172;9,4644;6,04602;5,18369;3,66987;6,25683;7,41555;5,57055;4,52457;4,2543;9,89651;7,70461;3,35659;;4,77931;15,8;8,2;7;22,8683;15,5658;26,6331;9,9015;20,2438;16,3954;19,0095;27,4972;16,5397;17,8517;11,5055;7,64764;31,2293;22,1723;3,7036;24,9633;5,59632;5,29675;3,66467;2,62581;3,42036;5,80876;0,8593;10,756;12,4155;3,75403;18,8839;4,82344;12,5902;13,8806;23,8883;;12,9554;9,76644;9,3125;;8,35061;12,7913;13,7138
01.01.2019 02:00;6,15983;9,2578;31,5226;10,7438;25,0642;24,3467;7,2741;9,84068;7,15465;8,01022;7,82539;31,1704;11,9213;17,7752;9,29976;11,1799;8,4;12,7;3,5;9,7;5,7;5,6;;9;12,2;6,2;10;6,1;5,4;12;2,9;13,8;;9,54;7,92;4,1;10,5;10,9;5,3;6,4;3,6;4,3;8,5;7,2;9,35499;4,87583;6,12621;7,29906;8,62524;30,8507;10,755;9,53716;43,3647;26,4589;22,73;32,8439;17,5752;14,1573;16,1283;4,54578;28,381;23,9313;21,5081;41,3666;4,78;5,733;3,4;8,46;5,75;8,87;19,560965;6,467;7,44;11,27;36,9;19,1;12,11;27,153225;8,4059;12,0891;7,9433;7,05247;4,8;1,2;6,1;7,22377;2,65555;14,7224;4,12673;10,2396;22,278;7,42122;4,67653;4,90546;3,64047;5,6318;6,55204;5,07476;4,04783;3,82387;6,19199;5,05525;2,56133;;5,4292;11,9;8,6;7;36,5626;15,3034;19,4498;9,07563;18,4975;16,0677;15,5669;34,4728;13,5622;18,0891;15,0405;6,42818;28,0804;21,6396;4,60888;15,6391;7,93321;4,41079;3,05176;2,03575;2,76018;5,10238;1,03021;10,6535;10,734;2,88859;15,0152;5,76771;7,82143;8,49087;17,2192;;8,29967;9,40533;3,27802;;5,49782;6,35952;10,9398
01.01.2019 03:00;6,25861;8,49618;41,8249;7,75528;22,5398;23,311;8,13768;9,78639;5,76547;8,79254;5,03122;35,6476;12,2357;17,4186;11,3105;12,027;7,3;10,8;3,9;8,9;5,9;5,2;;8,5;8,5;5,1;6,8;9,6;5,6;6,3;2,9;11,4;;7,2;9,24;4,3;8,2;9,3;5,2;5;3,5;3,1;9,7;7;9,65826;4,77917;5,16431;5,74981;10,2913;8,27261;9,38686;9,05332;44,5177;24,429;17,515;31,9166;46,0378;11,7785;10,8409;6,72918;21,1095;20,8206;19,399;47,3677;4,403;6,733;4;6,66;6,45;7,27;17,333249;5,6865;7,34;15,47;38,3;14,8;11,61;21,72258;5,56976;10,3608;6,17098;7,16219;3,9;1,3;5,8;6,62566;3,22596;16,1203;3,39008;7,43839;20,5784;6,38555;4,76496;;3,50641;4,9753;6,16195;4,03856;3,94724;2,88863;6,41822;3,26773;3,11243;;4,43603;11,3;5,9;5;23,4381;15,8563;19,2772;10,9621;19,3309;13,3208;17,37;37,6935;12,4383;19,6113;16,8044;4,33687;28,5844;22,7831;12,5128;19,4174;5,0429;4,13535;3,28811;2,13294;2,15366;5,63881;1,17504;10,6647;11,0932;3,09842;12,8488;5,52532;7,14033;8,89027;17,2957;;5,07719;8,36892;2,77134;;4,91859;4,7237;7,37076
01.01.2019 04:00;7,14132;8,07448;24,4402;5,60428;20,4366;27,0867;7,17584;9,18198;4,48179;7,87638;4,82036;38,6474;10,4422;16,9416;7,8153;13,3027;8,4;11,1;4,1;7,2;6,3;5,2;;7,9;7,7;4,8;7,1;8,4;5,3;8;3,2;9,2;;5,76;7,2;5,4;8,5;8,5;4,9;4,9;5,7;3,4;13,2;6,5;7,49302;3,64278;3,80159;4,74654;6,84337;16,5242;6,83593;12,4397;47,8531;40,9258;18,4508;36,0449;35,4928;8,88177;8,59758;6,6766;22,1548;14,2889;21,7022;27,7389;3,889;6,233;3,2;6,46;6,45;6,07;9,305534;4,683;6,94;11,67;35,4;13,1;8,71;18,266715;5,81248;9,80116;6,7552;8,15023;5,9;1,5;4,9;8,46245;3,94986;15,0563;10,1336;6,00889;19,1529;10,4921;3,79123;4,3698;3,80972;5,28982;5,79692;3,74842;5,09553;3,28877;6,37487;2,90563;3,6949;;4,82926;9,6;4,7;4;16,5855;6,75839;15,5164;8,66136;22,1526;11,3445;12,6006;33,7187;18,3401;25,1157;15,4325;3,43557;17,2606;20,2428;20,6061;21,937;3,8171;4,3123;3,6482;2,56367;1,95343;5,03281;1,28643;10,594;10,6069;4,09663;12,2279;5,56897;6,82194;7,34686;16,3394;;;7,48387;2,38363;;3,65947;3,91376;8,10369
01.01.2019 05:00;8,02934;9,10643;12,3274;4,30094;20,1073;25,0143;6,67182;8,83284;5,33789;6,42963;6,17045;31,3908;8,38837;11,5654;7,42918;11,7731;7,9;9,9;4,8;8,1;6,7;4,9;;7,5;8,6;5,2;7,5;9;4,5;7,7;4;10,5;;5,31;6,96;7,7;8,6;9,3;5,8;6;5,3;4,6;11,1;6,3;6,31601;2,81944;4,21591;3,74008;5,60588;34,8987;6,53585;10,4735;48,4187;24,0933;22,9169;24,0248;32,7287;7,39944;8,00161;5,50019;15,0336;10,7749;23,0372;19,0626;3,632;6,433;3;5,16;5,45;6,37;11,077818;4,5715;6,64;11,17;31,8;13;8,31;18,266715;5,25056;10,3075;4,7646;10,08;8;2,5;4,2;8,91094;5,95853;18,1762;7,94277;5,66774;24,1406;13,4858;4,12552;4,1883;3,53517;4,84777;5,62333;3,51354;3,12241;2,90776;5,69655;2,87322;3,77804;;4,42966;10,4;4,8;5;12,1079;5,25959;13,3527;8,32729;24,6558;16,3179;15,0161;41,8717;17,0595;21,0846;8,71075;3,12955;10,7189;23,8517;16,3481;11,9548;6,58578;3,92207;3,71247;2,51534;1,90988;5,04821;1,37093;9,58489;10,0011;4,4528;10,4319;5,78798;5,07569;6,38289;14,0931;;4,01467;6,8668;3,02893;;2,56872;4,22131;
