Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140
Kod stacji;DsJelGorOgin;DsKlodzSzkol;DsLegAlRzecz;DsLubanMieszMOB;DsOlawZolnAK;DsOsieczow21;DsWalbrzWyso;DsWrocAlWisn;DsWrocBartni;DsWrocWybCon;KpBydPlPozna;KpBydWarszaw;KpChelmLunawMOB;KpCiechTezni;KpGrudPilsud;KpInowSolank;KpKoniczynka;KpToruDziewu;KpToruKaszow;KpWloclKalis;KpWloclOkrze;KpZielBoryTu;LbBiaPodOrze;LbFlorianRPN;LbKrasnobrod;LbLubObywate;LbPulaKarpin;LbZamoHrubie;LdGajewUjWod;LdKutn1Maja7MOB;LdLodzGdansk;LdLodzJanPaw;LdPabiKonsta;LdParzniUjWo;LdPioTrKraPr;LdRadomsRoln;LdZgieMielcz;LuGorzKosGdy;LuSmolBytnic;LuSulecDudka;LuSwiebodMOB;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKaszowLisz;MpKrakAlKras;MpKrakBujaka;MpKrakBulwar;MpKrakDietla;MpNoSaczNadb;MpSkawOsOgro;MpSzarowSpok;MpSzymbaGorl;MpTarBitStud;MpTarRoSitko;MpTrzebOsZWM;MpZakopaSien;MzBelsIGFPAN;MzGranicaKPN;MzGutyDuCzer;MzLegZegrzyn;MzOtwoBrzozo;MzPiasPulask;MzPlocKroJad;MzPlocMiReja;MzRadTochter;MzWarAlNiepo;MzWarChrosci;MzWarKondrat;MzWarWokalna;OpKKozBSmial;OpOlesSlowac;OpOpoleOsAKr;OpStrzOpWysz;PdBialWaszyn;PdBorsukowiz;PdGrajewoWPoMOB;PdLomSikorsk;PkJasloSikor;PkKrempnaMPN;PkMielBierna;PkNiskoSzkla;PkPrzemGrunw;PkRzeszPilsu;PkRzeszRejta;PmChojnMOB;PmGdaLeczk08;PmGdaPoWie01;PmGdaWyzwo03;PmGdyPoreb04;PmGdySzaf09N;PmKosTargo12;PmLinieKos17;PmMalMicki15;PmSopBitPl06;SkGoluUjWody;SkKielTargow;SkMaloSlonec;SkNowiParkow;SkPolaRuszcz;SkSwietKrzyz;SlBielPartyz;SlCzestoArmK;SlCzestoBacz;SlDabro1000L;SlGoczaUzdroMOB;SlKatoKossut;SlKatoPlebA4;SlRaciborzWPMOB;SlRybniBorki;SlSosnoLubel;SlTychyTolst;SlUstronSana;SlWodzGalczy;SlZabSkloCur;SlZlotPotLes;SlZywieKoper;WmBiskupMickMOB;WmElbBazynsk;WmElkStadion;WmGoldJacwie;WmOlsPuszkin;WmOstrPilsud;WmPuszczaBor;WpBoroDrapal;WpKaliSawick;WpKoniWyszyn;WpKozieosLes;WpPiaskiKrzy;WpPilaKusoci;WpPoznDabrow;WpPoznPolank;WpPoznRatajeMOB;ZpKoszArKraj;ZpKoszChopin;ZpPolczSolanMOB;ZpSzczAndr01;ZpSzczecPrze;ZpSzczPils02;ZpWiduBulRyb
Wskaźnik;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2
Czas uśredniania;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g
Jednostka;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Kod stanowiska;DsJelGorOgin-NO2-1g;DsKlodzSzkol-NO2-1g;DsLegAlRzecz-NO2-1g;DsLubanMieszMOB-NO2-1g;DsOlawZolnAK-NO2-1g;DsOsieczow21-NO2-1g;DsWalbrzWyso-NO2-1g;DsWrocAlWisn-NO2-1g;DsWrocBartni-NO2-1g;DsWrocWybCon-NO2-1g;KpBydPlPozna-NO2-1g;KpBydWarszaw-NO2-1g;KpChelmLunawMOB-NO2-1g;KpCiechTezni-NO2-1g;KpGrudPilsud-NO2-1g;KpInowSolank-NO2-1g;KpKoniczynka-NO2-1g;KpToruDziewu-NO2-1g;KpToruKaszow-NO2-1g;KpWloclKalis-NO2-1g;KpWloclOkrze-NO2-1g;KpZielBoryTu-NO2-1g;LbBiaPodOrze-NO2-1g;LbFlorianRPN-NO2-1g;LbKrasnobrod-NO2-1g;LbLubObywate-NO2-1g;LbPulaKarpin-NO2-1g;LbZamoHrubie-NO2-1g;LdGajewUjWod-NO2-1g;LdKutn1Maja7MOB-NO2-1g;LdLodzGdansk-NO2-1g;LdLodzJanPaw-NO2-1g;LdPabiKonsta-NO2-1g;LdParzniUjWo-NO2-1g;LdPioTrKraPr-NO2-1g;LdRadomsRoln-NO2-1g;LdZgieMielcz-NO2-1g;LuGorzKosGdy-NO2-1g;LuSmolBytnic-NO2-1g;LuSulecDudka-NO2-1g;LuSwiebodMOB-NO2-1g;LuWsKaziWiel-NO2-1g;LuZarySzyman-NO2-1g;LuZielKrotka-NO2-1g;MpKaszowLisz-NO2-1g;MpKrakAlKras-NO2-1g;MpKrakBujaka-NO2-1g;MpKrakBulwar-NO2-1g;MpKrakDietla-NO2-1g;MpNoSaczNadb-NO2-1g;MpSkawOsOgro-NO2-1g;MpSzarowSpok-NO2-1g;MpSzymbaGorl-NO2-1g;MpTarBitStud-NO2-1g;MpTarRoSitko-NO2-1g;MpTrzebOsZWM-NO2-1g;MpZakopaSien-NO2-1g;MzBelsIGFPAN-NO2-1g;MzGranicaKPN-NO2-1g;MzGutyDuCzer-NO2-1g;MzLegZegrzyn-NO2-1g;MzOtwoBrzozo-NO2-1g;MzPiasPulask-NO2-1g;MzPlocKroJad-NO2-1g;MzPlocMiReja-NO2-1g;MzRadTochter-NO2-1g;MzWarAlNiepo-NO2-1g;MzWarChrosci-NO2-1g;MzWarKondrat-NO2-1g;MzWarWokalna-NO2-1g;OpKKozBSmial-NO2-1g;OpOlesSlowac-NO2-1g;OpOpoleOsAKr-NO2-1g;OpStrzOpWyszMOB-NO2-1g;PdBialWaszyn-NO2-1g;PdBorsukowiz-NO2-1g;PdGrajewoWPoMOB-NO2-1g;PdLomSikorsk-NO2-1g;PkJasloSikor-NO2-1g;PkKrempnaMPN-NO2-1g;PkMielBierna-NO2-1g;PkNiskoSzkla-NO2-1g;PkPrzemGrunw-NO2-1g;PkRzeszPilsu-NO2-1g;PkRzeszRejta-NO2-1g;PmChojnMOB-NO2-1g;PmGdaLeczk08-NO2-1g;PmGdaPoWie01-NO2-1g;PmGdaWyzwo03-NO2-1g;PmGdyPoreb04-NO2-1g;PmGdySzaf09N-NO2-1g;PmKosTargo12-NO2-1g;PmLinieKos17-NO2-1g;PmMalMicki15-NO2-1g;PmSopBitPl06-NO2-1g;SkGoluUjWody-NO2-1g;SkKielTargow-NO2-1g;SkMaloSlonec-NO2-1g;SkNowiParkow-NO2-1g;SkPolaRuszcz-NO2-1g;SkSwietKrzyz-NO2-1g;SlBielPartyz-NO2-1g;SlCzestoArmK-NO2-1g;SlCzestoBacz-NO2-1g;SlDabro1000L-NO2-1g;SlGoczaUzdroMOB-NO2-1g;SlKatoKossut-NO2-1g;SlKatoPlebA4-NO2-1g;SlRaciborzWPMOB-NO2-1g;SlRybniBorki-NO2-1g;SlSosnoLubel-NO2-1g;SlTychyTolst-NO2-1g;SlUstronSana-NO2-1g;SlWodzGalczy-NO2-1g;SlZabSkloCur-NO2-1g;SlZlotPotLes-NO2-1g;SlZywieKoper-NO2-1g;WmBiskupMickMOB-NO2-1g;WmElbBazynsk-NO2-1g;WmElkStadion-NO2-1g;WmGoldJacwie-NO2-1g;WmOlsPuszkin-NO2-1g;WmOstrPilsud-NO2-1g;WmPuszczaBor-NO2-1g;WpBoroDrapal-NO2-1g;WpKaliSawick-NO2-1g;WpKoniWyszyn-NO2-1g;WpKozieosLes-NO2-1g;WpPiaskiKrzy-NO2-1g;WpPilaKusoci-NO2-1g;WpPoznDabrow-NO2-1g;WpPoznPolank-NO2-1g;WpPoznRatajeMOB-NO2-1g;ZpKoszArKraj-NO2-1g;ZpKoszChopin-NO2-1g;ZpPolczSolanMOB-NO2-1g;ZpSzczAndr01-NO2-1g;ZpSzczecPrze-NO2-1g;ZpSzczPils02-NO2-1g;ZpWiduBulRyb-NO2-1g
01.01.2020 01:00;6,32766;18,9957;7,4637;11,8756;8,60999;4,27226;3,16648;19,0419;4,64563;5,50868;19,1;12,7;;3,7;27,4;3,393184;4,5;13,8;13,9649;4,7;14,3;3,786367;5,5;3,8;;4,1;13,2;;3,5;6;14,2;6,9;4,3;4,8;7,8;7;7,7;22,1441;2,97491;5,40512;;6,87679;11,0145;11,6011;6,28304;19,7483;14,3084;14,1153;23,072;8,77375;8,6757;10,1814;2,6;5,17462;5,29555;8,59579;13,5354;5,1;3,4;2,1;7,47;9,69;10,4;13,1213;8,81;6,64;19,82;8,06;11,3;7,004257;5,23463;;20,7419;;8;1;;3,4;6,35569;4,86392;3,80449;3,08682;6,8283;15,9679;4,48558;;29,1234;27,4776;18,6405;;5,90586;11,24;1,28644;12,0605;10,496;3,2;12;4,3;8;1,6;0;17,0689;9,02741;4,74282;13,3597;11,5496;11,0731;9,78625;8,35278;8,92977;14,0617;11,9792;28,5608;6,17295;3,81656;2,72885;12,1072;2,29334;18,8645;4,12894;3,5202;4,19259;9,67791;0,51;5,494;7,41334;10,7007;7,70037;;8,4451;7,66924;10,6706;6,23578;34,6874;28,6772;;23,4565;4,80932;34,3682;3,52923
01.01.2020 02:00;4,40344;29,1418;4,45496;7,17932;6,02995;4,41831;2,90943;27,2518;4,34608;5,02644;17,9;12,9;;6,6;30,6;4,639775;4,6;6;23,5299;3,7;19,1;3,932959;4,2;3,8;;2,5;7,6;4,9;3,5;4,1;8,5;6,9;5,1;4,4;6;6,1;6,9;8,43829;2,99573;5,12097;;3,98121;5,99777;10,1033;4,88569;22,764;15,04;11,9914;21,0336;7,26488;8,52433;10,3539;2,5;4,21755;5,5301;7,98992;12,2517;4,6;2,8;2,9;6,67;9,29;9,9;7,9007;7,41;5,94;24,12;9,06;8,4;7,904428;3,76611;;16,5167;;4,5;1,2;;5,4;4,75606;4,84267;3,66853;2,13082;3,9548;10,5845;3,79562;;19,2819;30,7972;14,2745;;3,70909;7,27585;1,81463;4,9867;8,40285;2,9;11,9;4,9;10;1,9;0;19,8268;16,9058;4,24688;12,1699;8,45953;7,79087;8,64224;5,53524;9,06085;8,38093;9,48618;29,0623;6,02069;3,16606;2,29493;10,5516;2,71929;11,6372;2,66349;2,40859;2,9567;5,30421;0,51;5,05231;6,58698;5,95277;5,57609;;3,67468;7,7112;9,75276;6,42007;34,8405;32,5866;;5,58623;2,52387;21,2827;2,42612
01.01.2020 03:00;4,28554;29,8796;4,63872;6,33592;6,23542;5,87781;2,69114;27,9557;3,12453;5,04449;18,2;15,8;;8,1;12,8;4,793184;5,2;11,6;44,7642;4,7;20,3;3,826143;4,2;3,7;;2,7;6,9;4,9;3,5;5,3;7,7;8,8;4,8;4,4;5,9;6,8;6,4;19,7961;3,09378;6,24321;;5,61916;5,05671;9,48405;4,413;31,7902;15,2599;14,1361;23,0635;7,46215;8,19929;8,70587;2,1;4,23455;4,83942;6,02899;6,01218;3,9;3,2;2,9;6,37;9,39;11,6;8,155;7,01;5,74;19,22;9,66;8,3;7,604598;5,67386;;13,2997;;4,2;0,7;;4;3,60893;3,82241;3,05863;1,47141;1,5282;9,35818;3,84052;;17,7758;37,4224;11,1145;;3,56456;13,5812;1,20996;5,72507;7,05153;3,4;10,4;3,8;5;1,1;0;17,7037;13,7754;4,49001;9,41918;8,31935;8,00969;8,39895;8,37828;8,67613;10,6615;7,39678;33,0602;5,68458;4,32871;2,20464;9,6009;1,80684;18,582;4,9933;2,17596;3,68804;4,59517;0,47;4,64597;4,53381;7,01642;5,05688;;3,95823;6,89488;10,3182;8,62896;29,3575;24,9793;;6,6373;;17,695;2,69804
01.01.2020 04:00;3,89039;34,2073;5,73281;8,68693;6,49775;4,81983;2,16428;21,706;3,6652;5,83426;17,9;12,4;;9,2;15,4;5,739775;5;11,8;23,1473;4,1;23,9;3,719326;4,4;3,4;;2,9;5,9;4,9;4,2;7,1;7,5;8,2;4,2;4,7;6,7;7,3;6,1;9,61768;3,00157;11,9309;;5,09548;5,64442;8,70438;4,03804;26,4472;13,1668;15,4054;20,4515;7,68565;7,4807;7,7603;2,1;3,69706;6,58044;4,8569;9,98808;4,8;4,5;3,2;6,77;8,49;10,2;9,1455;7,11;5,34;19,62;9,36;9,1;7,504768;5,90861;;18,3433;;3,9;1,2;;2,6;2,97593;2,98856;5,38457;2,1933;0,8212;8,4691;3,57579;;13,7079;27,6061;10,1043;;4,27024;16,8011;2,94473;4,63728;5,88673;3,9;13,2;4,4;5;1,7;0;16,723;16,4166;3,18614;6,09366;8,14372;9,82715;8,95772;11,2803;6,09594;8,12122;6,65482;28,5019;4,47375;3,94918;2,407;11,5952;1,73514;12,291;3,80734;10,4809;3,42992;5,11513;0,47;4,40829;4,88806;7,49102;4,98024;;4,20071;6,11999;8,71542;7,09883;13,7526;11,7738;;8,604;2,06804;17,7816;2,65502
01.01.2020 05:00;3,19888;32,1035;6,75786;7,32477;6,1828;4,65094;2,58439;17,9781;3,17445;4,94783;19,9;17,2;;7,6;10,6;2,739775;5,7;10,4;23,3386;2,3;15;3,986367;4,2;3,5;;3,6;6,4;4,3;3,7;5,7;8,7;11,1;4,7;4,3;6,6;5,8;7,1;1,87152;5,40618;10,0736;;4,68918;5,42228;7,67084;3,841;24,4688;14,4446;12,3436;17,4868;6,63721;7,66234;7,22149;1,5;3,99289;5,00682;4,71438;13,5656;4,8;4,9;2,8;6,67;8,29;10,6;8,8134;8,11;5,04;20,42;9,56;8,9;7,204939;7,49292;;;;4,3;1,1;;4,3;2,60562;3,27164;10,8791;1,8447;1,0149;8,38412;3,80233;;9,45515;11,8461;6,94875;;3,71866;28,8901;3,74894;3,14163;5,44992;2,2;8,1;4,2;6;2,3;0;12,9012;16,986;3,53773;4,46647;9,4749;10,6206;10,8808;7,36704;6,00221;9,17707;6,23312;21,9784;5,08915;3,67407;2,38097;10,1761;2,06071;15,3411;3,79228;16,0996;4,24995;7,44565;1,04;4,53367;4,09905;6,36158;4,81452;;3,43995;5,61862;7,75577;6,68403;9,76824;7,08055;;8,18124;1,83989;12,5863;3,67848
