Nr;1;2;3;4;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;26;27;28;29;30;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;79;80;81;82;85;86;87;88;89;90;91;92;93;94;95;96;97;99;101;102;103;104;107;108;109;111;112;113;115;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;141;142;143;144;145;146;147;148;150;152;153;154;156;157;158;159
Kod stacji;DsCzerStraza;DsJelGorOgin;DsKlodzSzkol;DsLegAlRzecz;DsOlawZolnAK;DsOsieczow21;DsTrzebniMaj;DsWalbrzWyso;DsWrocAlWisn;DsWrocBartni;DsWrocWybCon;KpBydPlPozna;KpBydWarszaw;KpCiechTezni;KpGrudPilsud;KpInowSolank;KpKoniczynka;KpNaklWawrzy;KpSolecRowecMOB;KpToruDziewu;KpToruKaszow;KpWloclKalis;KpWloclOkrze;KpZielBoryTu;LbBiaPodOrze;LbFlorianRPN;LbLubObywate;LbPulaKarpin;LbZamoHrubie;LdGajewUjWod;LdKutn1Maja7MOB;LdLaskNarutoMOB;LdLodzGdansk;LdLodzJanPaw;LdPabiKonsta;LdParzniUjWo;LdPioTrKraPr;LdRadomsRoln;LdZgieMielcz;LuGorzKosGdy;LuGubinAnderMOB;LuSmolBytnic;LuSulecDudka;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKaszowLisz;MpKrakAlKras;MpKrakBujaka;MpKrakBulwar;MpKrakDietla;MpNoSaczNadb;MpSkawOsOgro;MpSzarowSpok;MpSzymbaGorl;MpTarBitStud;MpTarRoSitko;MpTrzebOsZWM;MpZakopaSien;MzBelsIGFPAN;MzGranicaKPN;MzGutyDuCzer;MzLegZegrzyn;MzOtwoBrzozo;MzPiasPulask;MzPlocKroJad;MzPlocMiReja;MzRadTochter;MzWarAlNiepo;MzWarChrosci;MzWarKondrat;MzWarWokalna;OpBrzegPoprz;OpKKozBSmial;OpOlesSlowac;PdAugustowUz;PdBialWaszyn;PdBorsukowiz;PdGrajewoWPoMOB;PdLomSikorsk;PkJasloSikor;PkKrempnaMPN;PkMielBierna;PkNiskoSzkla;PkPrzemGrunw;PkRzeszPilsu;PkRzeszRejta;PmChojPlEmsdMOB;PmGdaLeczkow;PmGdaPowWars;PmGdaWyzwole;PmGdyPorebsk;PmGdySzafran;PmLinieKosci;PmMalMickiew;PmSopBiPlowc;SkGoluUjWody;SkKielTargow;SkKielWarsz1;SkNowiParkow;SlBielPartyz;SlCzestoArmK;SlCzestoBacz;SlDabroTysia;SlGoczaUzdroMOB;SlKatoKossut;SlKatoPlebA4;SlRaciborzWPMOB;SlRybniBorki;SlSosnoLubel;SlTychyTolst;SlUstronSana;SlWodzGalczy;SlZabSkloCur;SlZlotPotLes;SlZywieKoper;WmBiskupMickMOB;WmElbBazynsk;WmElkStadion;WmGoldJacwie;WmOlsPuszkin;WmOstrPilsud;WmPuszczaBor;WpBoroDrapal;WpKaliSawick;WpKoniWyszyn;WpKozieosLes;WpPiaskiKrzy;WpPilaKusoci;WpPoznDabrow;WpPoznPolank;WpSzamotKollMOB;ZpKolKasprowMOB;ZpKoszArKraj;ZpKoszChopin;ZpSzczAndrze;ZpSzczecPrze;ZpSzczPilsud;ZpWiduBulRyb
Wskaźnik;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2;NO2
Czas uśredniania;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g;1g
Jednostka;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Kod stanowiska;DsCzerStraza-NO2-1g;DsJelGorOgin-NO2-1g;DsKlodzSzkol-NO2-1g;DsLegAlRzecz-NO2-1g;DsOlawZolnAK-NO2-1g;DsOsieczow21-NO2-1g;DsTrzebnica-NO2-1g;DsWalbrzWyso-NO2-1g;DsWrocAlWisn-NO2-1g;DsWrocBartni-NO2-1g;DsWrocWybCon-NO2-1g;KpBydPlPozna-NO2-1g;KpBydWarszaw-NO2-1g;KpCiechTezni-NO2-1g;KpGrudPilsud-NO2-1g;KpInowSolank-NO2-1g;KpKoniczynka-NO2-1g;KpNaklWawrzy-NO2-1g;KpSolecRowecMOB-NO2-1g;KpToruDziewu-NO2-1g;KpToruKaszow-NO2-1g;KpWloclKalis-NO2-1g;KpWloclOkrze-NO2-1g;KpZielBoryTu-NO2-1g;LbBiaPodOrze-NO2-1g;LbFlorianRPN-NO2-1g;LbLubObywate-NO2-1g;LbPulaKarpin-NO2-1g;LbZamoHrubie-NO2-1g;LdGajewUjWod-NO2-1g;LdKutn1Maja7MOB-NO2-1g;LdLaskNarutoMOB-NO2-1g;LdLodzGdansk-NO2-1g;LdLodzJanPaw-NO2-1g;LdPabiKonsta-NO2-1g;LdParzniUjWo-NO2-1g;LdPioTrKraPr-NO2-1g;LdRadomsRoln-NO2-1g;LdZgieMielcz-NO2-1g;LuGorzKosGdy-NO2-1g;LuGubinAnderMOB-NO2-1g;LuSmolBytnic-NO2-1g;LuSulecDudka-NO2-1g;LuWsKaziWiel-NO2-1g;LuZarySzyman-NO2-1g;LuZielKrotka-NO2-1g;MpKaszowLisz-NO2-1g;MpKrakAlKras-NO2-1g;MpKrakBujaka-NO2-1g;MpKrakBulwar-NO2-1g;MpKrakDietla-NO2-1g;MpNoSaczNadb-NO2-1g;MpSkawOsOgro-NO2-1g;MpSzarowSpok-NO2-1g;MpSzymbaGorl-NO2-1g;MpTarBitStud-NO2-1g;MpTarRoSitko-NO2-1g;MpTrzebOsZWM-NO2-1g;MpZakopaSien-NO2-1g;MzBelsIGFPAN-NO2-1g;MzGranicaKPN-NO2-1g;MzGutyDuCzer-NO2-1g;MzLegZegrzyn-NO2-1g;MzOtwoBrzozo-NO2-1g;MzPiasPulask-NO2-1g;MzPlocKroJad-NO2-1g;MzPlocMiReja-NO2-1g;MzRadTochter-NO2-1g;MzWarAlNiepo-NO2-1g;MzWarChrosci-NO2-1g;MzWarKondrat-NO2-1g;MzWarWokalna-NO2-1g;OpBrzegPoprzMOB-NO2-1g;OpKKozBSmial-NO2-1g;OpOlesSlowac-NO2-1g;PdAugustowUz-NO2-1g;PdBialWaszyn-NO2-1g;PdBorsukowiz-NO2-1g;PdGrajewoWPoMOB-NO2-1g;PdLomSikorsk-NO2-1g;PkJasloSikor-NO2-1g;PkKrempnaMPN-NO2-1g;PkMielBierna-NO2-1g;PkNiskoSzkla-NO2-1g;PkPrzemGrunw-NO2-1g;PkRzeszPilsu-NO2-1g;PkRzeszRejta-NO2-1g;PmChojPlEmsdMOB-NO2-1g;PmGdaLeczkow-NO2-1g;PmGdaPowWars-NO2-1g;PmGdaWyzwole-NO2-1g;PmGdyPorebsk-NO2-1g;PmGdySzafran-NO2-1g;PmLinieKosci-NO2-1g;PmMalMickiew-NO2-1g;PmSopBiPlowc-NO2-1g;SkGoluUjWody-NO2-1g;SkKielTargow-NO2-1g;SkKielWarsz1-NO2-1g;SkNowiParkow-NO2-1g;SlBielPartyz-NO2-1g;SlCzestoArmK-NO2-1g;SlCzestoBacz-NO2-1g;SlDabroTysia-NO2-1g;SlGoczaUzdroMOB-NO2-1g;SlKatoKossut-NO2-1g;SlKatoPlebA4-NO2-1g;SlRaciborzWPMOB-NO2-1g;SlRybniBorki-NO2-1g;SlSosnoLubel-NO2-1g;SlTychyTolst-NO2-1g;SlUstronSana-NO2-1g;SlWodzGalczy-NO2-1g;SlZabSkloCur-NO2-1g;SlZlotPotLes-NO2-1g;SlZywieKoper-NO2-1g;WmBiskupMickMOB-NO2-1g;WmElbBazynsk-NO2-1g;WmElkStadion-NO2-1g;WmGoldJacwie-NO2-1g;WmOlsPuszkin-NO2-1g;WmOstrPilsud-NO2-1g;WmPuszczaBor-NO2-1g;WpBoroDrapal-NO2-1g;WpKaliSawick-NO2-1g;WpKoniWyszyn-NO2-1g;WpKozieosLes-NO2-1g;WpPiaskiKrzy-NO2-1g;WpPilaKusoci-NO2-1g;WpPoznDabrow-NO2-1g;WpPoznPolank-NO2-1g;WpSzamotKollMOB-NO2-1g;ZpKolKasprowMOB-NO2-1g;ZpKoszArKraj-NO2-1g;ZpKoszChopin-NO2-1g;ZpSzczAndrze-NO2-1g;ZpSzczecPrze-NO2-1g;ZpSzczPilsud-NO2-1g;ZpWiduBulRyb-NO2-1g
01.01.2021 01:00;6,8423;20,0433;19,8073;22,3173;21,0701;8,48609;42,4839;16,6206;27,0767;32,0611;35,3688;16,490938;21,3;14,9;12;9,932959;9,6;15,685245;;13,692061;16,6;6,7;9,8;13,532959;6,4;5,49031;6;8,9;;7,9;12,4;9,8;23,1;20,4;14,3;6,2;8,7;13;16,4;15,4888;;6,92032;11,6972;21,9;26,65;27,3224;31,311;38,2713;41,9135;33,4961;39,9698;12,6392;21,9478;26,6667;14,6;11,6581;24,4193;15,6603;29,3409;17,4;9,246672;3,040016;11,606736;25,346752;27,7668;16,32;7,840016;;25,76055;31,440176;15,960064;18,280032;;28,4033;29,3969;2,1;5,4;4,5;8,1;7,1;19,6652;12,0334;7,36357;9,26205;13,1954;8,3554;6,6919;15,5309;17,6432;12,6287;17,488;15,9011;11,7681;17,1538;13,1232;17,3142;6,6;10,1;;18;15,4086;30,8756;21,3055;33,5059;16,6753;28,9822;31,2076;17,9717;28,1439;29,2143;18,0827;16,3793;20,3761;33,019;12,4126;11,1868;7,95711;15,971;13,0509;5,52037;14,1631;13,0398;5,33421;22,9055;23,3774;17,1511;20,0456;13,0281;16,1522;23,363;17,9078;;;18,7509;23,5815;15,1213;24,5946;24,0619;9,24824
01.01.2021 02:00;4,47089;18,5622;16,944;16,2547;19,7651;11,0243;47,2208;28,0177;23,3912;28,3417;29,7948;15,611387;26,4;10,4;12,3;11,726143;8,7;13,6;;10,939775;13,7;5,6;7,7;14,932959;6;5,3564;4,7;4,4;;7,6;9,2;7,9;18,9;16,9;11,1;6,7;8,4;11,2;11,7;12,3609;;6,85803;11,0386;19,8;27,4039;14,9086;45,7561;43,1733;37,4189;35,7512;42,1947;12,3483;18,4802;25,3431;12,3;18,6347;18,0266;12,9404;29,957;11,2;8,086688;2,240016;13,820048;19,56672;18,360064;14,82;7,2;;15,4603;27,586768;13,420048;18,680032;;23,9345;28,6283;2;4,1;8,1;5,9;6;21,9951;9,98542;5,4149;8,3257;10,4549;7,2809;5,84695;11,8744;12,4997;11,6136;17,8546;9,8578;14,2604;15,2572;12,3585;13,0892;6,5;9,6;;19;14,383;30,5352;29,6264;21,0198;15,7678;27,7877;29,5547;15,0453;21,9549;38,8152;15,2084;14,1376;20,0749;29,3235;11,7158;10,602;7,5694;14,7521;5,46764;6,27826;11,9181;11,9537;4,79059;16,2468;19,467;17,1348;17,8637;12,8799;17,4251;18,702;14,6922;;;16,1537;18,375;10,1926;21,4012;26,3877;10,038
01.01.2021 03:00;3,71831;18,8369;17,6159;11,9484;21,1599;11,6791;45,2515;22,7071;20,0561;30,3684;23,3694;14,511387;28,7;8,1;11,4;9,626143;7,5;13,685245;;9,139775;9,6;4,6;7,3;13,786367;6,2;5,37553;4,3;4,4;;7,3;9;9,1;21,6;12,7;8,7;6,7;7,9;7,7;12,5;11,6335;;6,96627;9,36933;18,1;26,981;18,2817;43,1248;44,5577;27,6959;37,2038;42,8081;12,0111;16,6707;24,0611;12;15,2999;12,6589;16,827;28,8595;10,5;8,040016;2,293344;10,480032;10,440016;21,013392;14,92;7,546672;;18,92045;23,146752;7,826704;22,226704;;25,9071;29,1933;2,1;5;10;7,8;4,7;23,3159;8,31242;5,66183;8,06439;9,77378;6,31273;5,06675;11,5487;12,319;11,6506;13,5368;5,36565;11,5333;13,3155;11,029;12,3378;6,8;13;;18;13,7551;22,7926;31,829;21,5679;14,376;26,0653;25,9437;14,7739;18,3363;37,0886;15,142;15,449;16,0799;26,128;11,643;9,03632;7,10945;14,5556;5,19897;7,06484;10,3853;13,5773;4,58548;13,3566;20,2891;17,2455;15,7115;13,6434;12,3538;16,3798;13,12;;;15,4824;17,6624;9,76129;18,0849;23,8421;8,9301
01.01.2021 04:00;3,66785;17,5224;18,0275;12,0599;21,9365;8,90939;40,7867;15,4272;19,7746;29,0311;25,9559;12,804571;26,5;7,6;6,9;7,432959;6,7;12,1;;8,332959;8,7;4,6;6,7;13,532959;6,3;4,95467;3,6;3,4;;6,5;10,3;6,4;12,8;8,8;6,5;6;7,7;6,2;19,6;10,9866;;7,2007;9,86167;18,8;27,6321;24,7147;31,635;43,2972;20,981;39,1763;38,795;13,6607;13,9169;26,3478;12,3;9,0816;10,7382;19,2217;29,8431;12,1;7,686688;3,286688;3,193344;8,446672;22,713392;15,52;8,246672;;21,63416;24,493424;6,13336;17,026704;;34,6221;33,5236;1,6;7,4;7,3;5,5;4,2;19,917;9,20044;6,0975;6,82903;10,554;5,35248;3,78677;13,747;12,5371;10,791;13,4722;4,12087;10,7537;11,5327;9,41196;12,0439;6;9,4;;13;14,448;21,8637;25,4722;23,2257;13,1723;24,2362;25,4816;16,346;20,894;34,3215;15,0655;13,8153;15,9429;26,7653;12,137;10,1426;7,98526;14,886;5,15084;5,82098;9,96311;16,0066;4,85621;;;;;;;;;;;15,5982;16,1947;8,87221;18,0459;17,5394;8,46963
